code,buyback_date
002597.SZ,2023-12-23
601975.SH,2023-12-25
002886.SZ,2023-12-25
600406.SH,2023-12-26
002558.SZ,2023-12-26
002179.SZ,2023-12-27
000790.SZ,2023-12-27
000883.SZ,2023-12-27
002664.SZ,2023-12-28
600480.SH,2023-12-28
603233.SH,2023-12-28
603212.SH,2023-12-28
002555.SZ,2023-12-28
002004.SZ,2023-12-28
605336.SH,2023-12-28
000758.SZ,2023-12-28
603444.SH,2023-12-28
600872.SH,2023-12-28
603507.SH,2023-12-28
002324.SZ,2023-12-28
600039.SH,2023-12-29
600536.SH,2023-12-29
600905.SH,2023-12-29
002624.SZ,2023-12-29
002567.SZ,2023-12-29
000534.SZ,2023-12-29
002254.SZ,2023-12-29
603515.SH,2023-12-29
002902.SZ,2023-12-29
601390.SH,2023-12-30
000576.SZ,2023-12-30
000962.SZ,2023-12-30
601086.SH,2023-12-30
002384.SZ,2023-12-30
002268.SZ,2023-12-30
000498.SZ,2023-12-30
601369.SH,2023-12-30
601138.SH,2024-01-03
002825.SZ,2024-01-03
000423.SZ,2024-01-03
603027.SH,2024-01-04
